itching,"Sensation that causes a desire to scratch the skin."
skin_rash,"An area of irritated or swollen skin."
nodal_skin_eruptions,"Small lumps or nodules appearing on the skin, often due to infection or inflammation."
continuous_sneezing,"Repeated sneezing that occurs persistently, often due to allergies or infections."
shivering,"Involuntary trembling or shaking usually caused by cold or fever."
chills,"Feeling of coldness accompanied by shivering, often a sign of fever or infection."
joint_pain,"Discomfort, aches, or soreness in the joints."
stomach_pain,"discomfort or aching felt in the abdominal area, often caused by indigestion, infection, or other digestive issues"
acidity,"A burning sensation in the chest caused by excess stomach acid."
ulcers_on_tongue,"Painful sores or open lesions on the tongue surface."
muscle_wasting,"Loss of muscle mass and strength, often due to disease or inactivity."
vomiting,"Forceful expulsion of stomach contents through the mouth."
burning_micturition,"A burning sensation during urination, typically a sign of urinary tract infection."
spotting_ urination,"Light bleeding or spotting during urination, could indicate infection or other issues."
fatigue,"Extreme tiredness or exhaustion."
weight_gain,Increase in body weight that may be caused by various medical or lifestyle factors.
anxiety,"Feeling of worry, nervousness, or unease about something with an uncertain outcome."
cold_hands_and_feets,"Reduced blood flow or body temperature causing cold extremities."
mood_swings,"Rapid and extreme changes in a person's emotional state."
weight_loss,"Decrease in body weight that is unintended and potentially a sign of illness."
restlessness,"Inability to relax or stay still, often due to anxiety or discomfort."
lethargy,"Lack of energy and enthusiasm."
patches_in_throat,"Spots or discoloration in the throat, possibly indicating infection."
irregular_sugar_level,"Fluctuating blood glucose levels, often seen in diabetes."
cough,"Reflex to clear the throat or airways of mucus or irritants."
high_fever,"Body temperature significantly higher than normal, often due to infection."
sunken_eyes,"Eyes that appear deep-set, often due to dehydration or illness."
breathlessness,"Shortness of breath or difficulty breathing."
sweating,"Release of sweat from the body, often due to heat, stress, or illness."
dehydration,"Loss of body fluids leading to inadequate water for normal function."
indigestion,"Discomfort or pain in the stomach associated with difficulty digesting food."
headache,"Pain in the head, scalp, or neck."
yellowish_skin,"Skin that appears yellow, often due to jaundice or liver problems."
dark_urine,"Urine that appears darker than usual, often due to dehydration or liver issues."
nausea,"Feeling of sickness with an inclination to vomit."
loss_of_appetite,"Decreased desire to eat."
pain_behind_the_eyes,"Discomfort located behind the eye sockets, possibly due to infection or strain."
back_pain,"Pain felt in the back, which can be caused by various musculoskeletal or internal issues."
constipation,"Difficulty in emptying the bowels, often associated with hardened stool."
abdominal_pain,"Pain located in the abdomen area, caused by various digestive or internal issues."
diarrhoea,"Frequent loose or watery bowel movements."
mild_fever,"Slightly elevated body temperature."
yellow_urine,"Yellow-colored urine, usually a sign of dehydration or concentration."
yellowing_of_eyes,"Sclera of eyes turning yellow, often a sign of jaundice."
acute_liver_failure,"Rapid loss of liver function, often life-threatening."
fluid_overload,"Excess fluid in the body, often affecting the lungs or other organs."
swelling_of_stomach,"Abdominal bloating or distension."
swelled_lymph_nodes,"Enlargement of lymph nodes, often due to infection or illness."
malaise,"General feeling of discomfort or illness."
blurred_and_distorted_vision,"Visual disturbance where vision is not clear or is warped."
phlegm,"Thick mucus produced in the respiratory tract."
throat_irritation,"Sensation of scratchiness or discomfort in the throat."
redness_of_eyes,"Inflamed or bloodshot eyes."
sinus_pressure,"Pain or pressure in the face due to blocked sinuses."
runny_nose,"Excess drainage from the nose, often due to infection or allergy."
congestion,"Blocked nasal or chest passages."
chest_pain,"Pain in the chest area, can be related to heart, lungs, or musculoskeletal system."
weakness_in_limbs,"Lack of strength in arms or legs."
fast_heart_rate,"Heart beating more quickly than normal."
pain_during_bowel_movements,"Discomfort or pain while passing stool."
pain_in_anal_region,"Discomfort in or around the anus."
bloody_stool,"Presence of blood in feces."
irritation_in_anus,"Itching or discomfort in the anal area."
neck_pain,"Discomfort or pain in the neck area."
dizziness,"Sensation of spinning or losing balance."
cramps,"Sudden, involuntary muscle contractions."
bruising,"Discoloration of the skin due to bleeding under the skin."
obesity,"Excessive body fat accumulation that may impair health."
swollen_legs,"Enlargement of the legs due to fluid retention or inflammation."
swollen_blood_vessels,"Enlarged veins often due to poor circulation or vascular issues."
puffy_face_and_eyes,"Swelling around the face and eyes, usually due to fluid retention or allergies."
enlarged_thyroid,"Thyroid gland swelling, often indicating thyroid dysfunction."
brittle_nails,"Nails that easily crack or split, often from nutritional deficiencies."
swollen_extremeties,"Swelling of hands or feet, often caused by fluid buildup."
excessive_hunger,"Unusually high appetite, possibly related to diabetes or hormonal imbalance."
extra_marital_contacts,"Sexual activity outside of marriage, often linked to STD risk factors."
drying_and_tingling_lips,"Dry lips with tingling sensation, possibly due to dehydration or nerve issues."
slurred_speech,"Impaired articulation of speech, often indicating neurological problems."
knee_pain,"Pain in or around the knee joint, commonly due to injury or arthritis."
hip_joint_pain,"Discomfort in the hip area, often from joint inflammation or strain."
muscle_weakness,"Reduced strength in one or more muscles, possibly neurological or metabolic."
stiff_neck,"Limited neck movement due to tension, strain, or infection."
swelling_joints,"Joint enlargement from fluid buildup, common in arthritis."
movement_stiffness,"Reduced joint flexibility, often due to inflammation or age-related changes."
spinning_movements,"Feeling like the surroundings are spinning, a symptom of vertigo."
loss_of_balance,"Difficulty staying upright or coordinated, often from ear or brain issues."
unsteadiness,"Insecure or wobbly walking, often linked to neurological or muscular problems."
weakness_of_one_body_side,"Loss of strength on one side, typically seen in stroke or nerve damage."
loss_of_smell,"Inability to detect odors, which can result from infections or brain injury."
bladder_discomfort,"Pain or pressure in the bladder area, often from infection or irritation."
